kanji,reading,meaning
嘘,うそ,lie
嘘つき,うそつき,liar
完璧,かんぺき,perfect/flawless
永遠,えいえん,eternity
世界,せかい,world
世界の全て,せかいのすべて,whole world
惑星,わくせい,planet
星,ほし,star
孤独,こどく,loneliness/solitude
馬鹿,ばか,fool/idiot/trivial matter/folly
音,おと,sound
魔女,まじょ,witch
未来,みらい,future
会長,かいちょう,chairman/president
書記,しょき,clerk/secretary
夢,ゆめ,dream
死ぬ,しぬ,to die
狼,おおかみ,wolf
闇,やみ,darkness/the dark
香辛料,こうしんりょう,spice/spices
旅,たび,travel
狂気, きょうき ,madness/insanity​
虜,とりこ,captive/prisoner
特別,とくべつ,special/particular/extraordinary
許す,ゆるす,to permit/to allow/to forgive/to pardon
得意,とくい,satisfaction/pride
隠す,かくす,to hide/to conceal
認める,みとめる,to recognize/to admit/to accept
笑顔,えがお,smile
味,あじ,taste
崇める,あがめる,to revere/to respect/to worship
役,やく,role
究極,きゅうきょく,ultimate/final/last/eventual
信じる,しんじる,to believe/to place trust in
嫉妬,しっと,jealousy/envy
押す,おす,to push/to press
瞳,ひとみ,pupil/(of eye)/eye
奪う,うばう,to snatch away/to dispossess/to steal
荒らす,あらす,to lay waste/to devastate/to damage
敵,てき,enemy/opponent/rival;
完全,かんぜん,perfect/complete
変わり,かわり,change/alteration
現れる,あらわれる,to appear/to come in sight/to become visible
我々,われわれ,we
,おまけ,freebie/bonus/an extra
唯一,ゆいいつ,only/sole/unique
抜ける,ぬける,to come out/to fall out/to be omitted/to be missing
宿す,やどす,to house/to contain/to harbour (a feeling)
汗,あせ,sweat/perspiration
瞼,まぶた,eyelid
容易い,たやすい,easy/simple/light
客,きゃく,guest/visitor
跡,あと,trace/tracks/mark/sign
救う,すくう,to rescue from/to help out of/to save
積む,つむ,to pile up/to stack
突然,とつぜん,abrupt/sudden/unexpected
衝動,しょうどう,impulse/impetus/urge
残す,のこす,to leave behind/to save/to set aside;
圧力,あつりょく,pressure/(also political)/stress
季節,きせつ,season/time of year
